38.797845,-104.179504,12825,0.0,
38.662994,-104.487862,10350,-359.500693481276,
38.643711,-104.635071,8425,-298.4049079754601,
38.700989,-104.685676,7500,-357.0017431725741,
38.787598,-104.685795,5850,-62.4390243902439,
39.203036,-104.757568,25025,230.41772444034157,
38.872147,-104.935913,29050,226.77165354330708,
38.797845,-104.179504,12825,0.0,
38.662994,-104.487862,10350,-359.500693481276,
38.643711,-104.635071,8425,-298.4049079754601,
38.700989,-104.685676,7500,-357.0017431725741,
38.787598,-104.685795,5850,-62.4390243902439,
38.797845,-104.179504,12825,0.0,
38.662994,-104.487862,10350,-359.500693481276,
38.643711,-104.635071,8425,-298.4049079754601,
38.700989,-104.685676,7500,-357.0017431725741,
38.787598,-104.685795,5850,-62.4390243902439,
38.797845,-104.179504,12825,0.0,
38.662994,-104.487862,10350,-359.500693481276,
38.643711,-104.635071,8425,-298.4049079754601,
38.700989,-104.685676,7500,-357.0017431725741,
38.787598,-104.685795,5850,-62.4390243902439,
38.797845,-104.179504,12825,0.0,
38.662994,-104.487862,10350,-359.500693481276,
38.643711,-104.635071,8425,-298.4049079754601,
38.700989,-104.685676,7500,-357.0017431725741,
38.787598,-104.685795,5850,-62.4390243902439,
38.798172,-104.685795,5975,70.67484662576688,
39.135315,-104.37567,25600,284.03722261989975,
39.11859,-104.354614,26800,430.2788844621514,
38.727598,-104.229858,33175,27.201889020070837,
38.395727,-104.644537,13825,0.0,
39.209885,-104.808973,21725,318.87267237040766,
38.773266,-104.973633,28625,258.07647740440325,
38.65358,-104.209412,10675,-130.21363173957275,
38.614383,-104.434814,7825,0.0,
38.607742,-104.644596,7825,18.346870520783565,
38.678811,-104.685974,7850,-137.84615384615384,
38.786316,-104.685795,5875,-53.70629370629371,
38.79063,-104.685791,6000,59.07692307692308,
38.811532,-104.685791,6450,825.8064516129032,
38.87059,-104.671107,8950,357.44680851063833,
38.84523,-104.579932,10750,268.17426005986033,
38.683467,-104.443542,16050,500.05425935973955,
